contractor_id,contractor_name,phone,email,project_id,start_date,end_date,payment_terms
1,Le Group,9055595501,dylanbecker@manning.net,169,2021-12-21,2032-10-24,30 days
2,"House, Gonzalez and Carrillo",001-307-998-4870x4506,mhickman@hall.info,37,2023-04-21,2039-01-27,30 days
3,Snow-Phelps,594.964.0830,randyjordan@lang.net,24,2021-12-01,2035-06-21,60 days
4,Smith-Oneill,001-749-407-9388x4136,alexisjordan@lucas-potts.com,97,2023-02-12,2034-05-15,Milestone
5,Velazquez Ltd,624-346-2632x514,mcgrathmorgan@mckay.com,88,2021-03-19,2026-12-18,Advance
6,Hubbard LLC,388-778-1794,gomezpaul@gardner.com,80,2021-07-21,2030-11-01,30 days
7,Gay and Sons,(752)888-3750,ggarcia@lewis-lee.info,14,2023-06-06,2029-02-04,60 days
8,"Terry, Cherry and Garner",+1-778-276-5530x07309,deborah60@atkins-miller.com,159,2023-04-14,2026-09-25,30 days
9,"Hoffman, Wilson and Taylor",288.351.9053x4864,crosbyelizabeth@dominguez.com,70,2023-04-27,2035-01-24,Milestone
10,Atkinson-Zavala,351.774.4600x45212,davisjoseph@flores-martinez.org,125,2021-12-26,2037-03-07,Milestone
11,"Mcbride, Hall and Hill",001-888-318-9848x41604,joseph02@davis.com,107,2021-09-10,2029-10-28,60 days
12,Williams-Pacheco,(381)242-9831x5229,trobinson@jackson.net,132,2021-03-30,2026-02-02,Advance
13,Smith-Mills,693-778-3063x963,richardgarza@roberts.com,111,2021-10-21,2026-07-27,Advance
14,Wong-Jimenez,369-534-2929,jenniferhall@mcgee.com,174,2022-07-30,2037-06-11,Milestone
15,Anderson-Robinson,590-931-0615,dylanwong@melton.biz,135,2023-09-13,2040-02-16,Advance
16,"Stone, Hill and Alvarado",+1-223-865-3377x4604,ymoore@goodman.com,12,2022-05-27,2029-06-19,Milestone
17,Rodriguez-Mitchell,942-560-7819x7543,mary64@castillo.com,154,2021-08-28,2025-04-09,30 days
18,Brewer Group,388.621.4584,julie01@krueger.com,53,2020-11-11,2029-08-26,60 days
19,"Velazquez, Foley and Andrews",527.480.2058x69507,oconnorjennifer@king-ballard.org,36,2021-10-30,2029-08-19,Advance
20,"Morales, Wilkinson and Guzman",001-251-767-9335,thomas38@snyder-jordan.net,84,2021-08-21,2026-07-26,30 days
21,"Jones, Cunningham and Taylor",(703)376-8118x72333,scottsamantha@martinez-ramirez.org,128,2020-11-10,2032-05-11,60 days
22,Davis and Sons,+1-211-949-8307x482,lauraclay@davis.com,34,2022-09-14,2033-02-18,60 days
23,Smith-Horton,(578)220-1904x322,jamesclark@phillips.info,129,2023-03-29,2037-06-13,Advance
24,"Taylor, Wilson and Barr",254.462.1276,austin26@miller.com,19,2021-10-01,2032-07-05,30 days
25,Perry Group,924.488.8995,stephaniecoleman@copeland.org,112,2021-02-06,2023-11-23,Milestone
26,"Yates, Houston and Gonzalez",968-871-9120x3818,brianwhite@lindsey.com,20,2021-09-13,2030-09-26,Milestone
27,"Stephens, Jones and Ryan",458-481-4458,pattersonmelissa@taylor.com,147,2022-12-14,2033-11-16,Milestone
28,Weber Inc,(381)757-2450x00000,katherinemorton@miller.com,75,2022-12-29,2027-11-03,Milestone
29,"Holland, Brown and Mccoy",+1-302-455-6184x442,hmitchell@hernandez.net,6,2022-08-28,2031-12-09,60 days
30,Edwards Group,6865700900,vreed@ward.com,159,2023-06-08,2035-07-05,Advance
31,Sullivan PLC,236-724-8355,lorraine96@williams.com,23,2023-01-17,2034-08-17,30 days
32,Allen PLC,+1-687-295-0982x210,grimesjohnny@martinez.com,63,2022-07-09,2034-02-06,Milestone
33,"Quinn, Hayden and Schneider",+1-377-838-3638,john12@ross.net,135,2021-11-26,2026-01-04,Milestone
34,"Caldwell, Cross and Russell",(303)662-5863,christopher06@dougherty-welch.com,80,2023-03-22,2032-09-30,60 days
35,Todd-Cline,5262355824,harrisonkyle@roy-palmer.net,86,2022-04-19,2028-04-17,30 days
